"region_country","year","total_ev_stock"
"Netherlands",2022,"957574.42"
"Netherlands",2023,"1239820.71"
"Netherlands",2024,"1581328.3"
"New Zealand",2010,"240.55548"
"New Zealand",2011,"277.859"
"New Zealand",2012,"318.6619"
"New Zealand",2013,"373.5512"
"New Zealand",2014,"985.839"
"New Zealand",2015,"1753.56"
"New Zealand",2016,"4222.349"
"New Zealand",2017,"9832.45"
"New Zealand",2018,"17754.52"
"New Zealand",2019,"26391.30"
"New Zealand",2020,"31198.33"
"New Zealand",2021,"49949.71"
"New Zealand",2022,"99347.06"
"New Zealand",2023,"129748.36"
"New Zealand",2024,"130601.93"
"North America",2010,"5020.014042"
"North America",2011,"40720.2328"
"North America",2012,"132766.65326"
"North America",2013,"275359.0394"
"North America",2014,"417977.20612"
"North America",2015,"529107.8237"
"North America",2016,"748042.6919"
"North America",2017,"979716.0339"
"North America",2018,"1525504.5396"
"North America",2019,"1829235.3138"
"North America",2020,"2111494.9432"
"North America",2021,"2954333.3339"
"North America",2022,"4131132.636"
"North America",2023,"6371802.363"
"North America",2024,"8250347.4615"
"Norway",2010,"5863.4034"
"Norway",2011,"9065.69021"
"Norway",2012,"16584.427"
"Norway",2013,"29053.142"
"Norway",2014,"63703.963"
"Norway",2015,"110930.145"
"Norway",2016,"169853.84"
"Norway",2017,"255974.9144"
"Norway",2018,"338319.1524"
"Norway",2019,"434312.3233"
"Norway",2020,"630026.092"
"Norway",2021,"816119.40"
"Norway",2022,"1007302.47"
"Norway",2023,"1086495.2"
"Norway",2024,"1158032.8"
"Poland",2010,"19.0126"
"Poland",2011,"46.0206"
"Poland",2012,"123.148"
"Poland",2013,"177.268"
"Poland",2014,"425.270"
"Poland",2015,"3235.44574"
"Poland",2016,"3829.7187"
"Poland",2017,"6365.3933"
"Poland",2018,"10286.8078"
"Poland",2019,"21654.909"
"Poland",2020,"39203.291"
"Poland",2021,"74002.933"
"Poland",2022,"112868.34"
"Poland",2023,"162594.43"
"Poland",2024,"190070.56"
"Portugal",2010,"733.0208"
"Portugal",2011,"2188.129"
"Portugal",2012,"2213.2672"
"Portugal",2013,"2607.3831"
"Portugal",2014,"2937.694"
"Portugal",2015,"4934.774"
"Portugal",2016,"7613.234"
"Portugal",2017,"15237.3589"
"Portugal",2018,"27464.946"
"Portugal",2019,"45727.328"
"Portugal",2020,"74236.021"
"Portugal",2021,"114751.745"
"Portugal",2022,"163182.68"
"Portugal",2023,"260849.83"
"Portugal",2024,"337327.30"
"Rest of the world",2010,"9869.7969797"
"Rest of the world",2011,"10082.3775292"
"Rest of the world",2012,"133329.8072962"
"Rest of the world",2013,"244516.9786486"
"Rest of the world",2014,"324303.4575801"
"Rest of the world",2015,"416468.4229559"
"Rest of the world",2016,"790578.4834929"
"Rest of the world",2017,"1083719.4530654"
"Rest of the world",2018,"1462274.890817"
"Rest of the world",2019,"1858853.992697"
"Rest of the world",2020,"5778849.443238"
"Rest of the world",2021,"7216794.01628"
"Rest of the world",2022,"9076719.58354"
"Rest of the world",2023,"11423878.0546"
"Rest of the world",2024,"14208620.7340"
"Rest of the world",2030,"73586247.096"
"Romania",2015,"24.03"
"Romania",2016,"74.08"
"Romania",2017,"190.18"
"Romania",2018,"600.46"
"Romania",2019,"1500.93"
"Romania",2020,"3803.1"
"Romania",2021,"6305.2"
"Romania",2022,"12009"
"Romania",2023,"15011"
"Romania",2024,"9806.5"
"Russia",2011,"41.0015"
"Russia",2012,"139.00191"
"Russia",2013,"90.00021"
"Russia",2014,"9894.6932"
"Russia",2015,"13927.90057"
"Russia",2016,"10203.239253"
"Russia",2017,"10137.5729"
"Russia",2018,"12264.39286"
"Russia",2019,"13781.64583"
"Russia",2020,"16734.0148"
"Russia",2021,"24290.59659"
"Russia",2022,"24258.01786"
"Russia",2023,"31985.74223"
"Russia",2024,"94423.54651"
"Seychelles",2015,"3.15"
"Seychelles",2016,"12.63"
"Seychelles",2017,"32"
"Seychelles",2018,"34.3"
"Seychelles",2019,"39.6"
"Seychelles",2020,"29.3"
"Seychelles",2021,"65.2"
"Seychelles",2022,"38.7"
"Seychelles",2023,"105"
